day,pos,area,maj_ax,min_ax,peri,gmd,sf,v_projected,v_corrected
1,a,9911.04,116.895,110.89,761.225,113.853,0.4636086213702609,742237.0748519407,344107.5070020034
1,b,17639.04,153.221,149.433,1154.547,151.315,0.4077845688348952,1762285.2970890838,718632.7500375473
1,c,25110.4,188.054,176.761,2284.37,182.32,0.24590383362513415,2993258.653042451,736053.777814744
1,d,27914.88,203.653,176.482,1419.221,189.581,0.4173234470098138,3508467.421305346,1464165.7179807795
1,e,25208.96,187.225,174.504,1477.767,180.753,0.38086970757946637,3010899.0454322645,1146760.238985081
1,f,27882.24,202.612,178.312,1670.35,190.074,0.35437353525937476,3502315.707864525,1241127.9989903911
1,g,27139.2,199.544,175.958,1476.613,187.38,0.39549114594064433,3363251.639350568,1330136.2449335067
1,h,26080.0,190.387,175.771,1228.63,182.933,0.4659481696527062,3168291.854898222,1476259.7907154039
1,i,22336.0,194.136,149.791,1432.167,170.528,0.36992524490023704,2511145.641546848,928936.1664293807
1,j,25278.72,200.123,166.538,2093.638,182.56,0.26920361002976917,3023405.643881602,813911.713917306
1,k,24741.12,183.058,176.746,1929.098,179.874,0.28904157768755884,2927472.5655906782,846161.2889953752
1,l,26069.12,193.568,173.575,1214.746,183.299,0.4711754347457846,3166309.449607114,1491887.2314583177
1,m,27768.96,196.911,184.505,1736.675,190.607,0.3401466412734859,3480993.58244698,1184048.2753638993
1,n,20743.04,170.45,156.579,871.322,163.367,0.5859525583040276,2247358.7620033845,1316845.6160228555
1,o14,26181.12,191.671,178.069,1877.95,184.745,0.30543233868117553,3186736.334697622,973332.331466972
1,p17,19946.88,164.456,158.854,1540.258,161.631,0.32504908385703407,2119221.0676068407,688850.8665161292
1,q18,16565.12,156.268,140.95,1562.738,148.412,0.2919550908275819,1603820.2024227849,468243.472869455
1,r,13901.44,142.03,129.208,1402.141,135.467,0.29808706991549766,1232972.767884828,367533.23966438934
1,s,7290.88,115.637,92.533,1234.552,103.442,0.2451802704574131,468310.3171796474,114820.45022410287
3,a,7743.36,110.31,93.278,625.721,101.437,0.4985272780033985,512575.65617095906,255532.9466417141
3,b,15792.0,145.115,139.416,788.495,142.237,0.5649689184693155,1492861.4493340228,843420.3184547777
3,c,21151.36,178.194,152.335,954.522,164.758,0.5401173622012986,2314042.046462402,1249854.2861581675
3,d,24117.76,185.998,166.35,1018.613,175.9,0.5404608028334611,2817534.5735890134,1522766.9976529516
3,e,22149.76,180.749,158.006,960.974,168.995,0.5490069051479703,2479803.8935355535,1361429.460963841
3,f,24271.36,180.962,172.24,1170.547,176.547,0.47180564384343504,2844493.6467264225,1342048.1564023201
3,g,24074.24,190.122,162.266,998.826,175.643,0.5506699606683657,2809911.740534583,1547333.9876417578
3,h,24781.44,203.251,157.289,1302.543,178.799,0.4284263087714051,2934631.7263782932,1257273.4381357082
3,i,19015.68,179.814,137.487,1193.861,157.233,0.40945586560458186,1972566.2164984918,807678.8076387449
